Maltose,g,0.00
Fructose,g,0.00
Lactose,g,0.00
Sucrose,g,1.15
Glucose (dextrose),g,0.40
Hexadecenoic acid,g,0.024
Tocotrienol, alpha,mg,0.00
Tocotrienol, beta,mg,0.00
Tocotrienol, gamma,mg,0.00
Tocotrienol, delta,mg,0.00
Tocopherol, beta,mg,0.00
Tocopherol, gamma,mg,19.95
Tocopherol, delta,mg,0.35
Eicosapentaenoic n-3 acid,g,0.000
Galactose,g,0.00
Tetracosenoic cis acid,g,0.064
Cis,cis-eicosadienoic n-6 acid,g,0.007
Theobromine,mg,0.00
Caffeine,mg,0.00
Sugars,g,1.55
Vitamin B6,mg,0.473
Folate,mcg,87.00
Pantothenic acid,mg,0.985
Vitamin B12,mcg,0.00
Fiber,g,27.3
Retinol,mcg,0.00
Vitamin A,IU,0.00
Copper, Cu,mg,1.220
Selenium, Se,mcg,25.4
Octadecadienoic acid,g,5.903
Manganese, Mn,mg,2.482
Dihydrophylloquinone,mcg,0.0
Hydroxyproline,g,0.175
Hexadecanoic acid,g,2.165
Choline,mg,78.7
Zinc, Zn,mg,4.34
Calcium, Ca,mg,255.00
Iron, Fe,mg,5.73
Magnesium, Mg,mg,392.00
Phosphorus, P,mg,642.00
Potassium, K,mg,813.00
Sodium, Na,mg,30.00
Beta-sitosterol,mg,90.00
Serine,g,0.970
Monounsaturated fatty acids,g,7.527
Polyunsaturated fatty acids,g,28.730
Arginine,g,1.925
Valine,g,1.072
Alanine,g,0.925
Histidine,g,0.472
Glutamic acid,g,4.039
Aspartic acid,g,2.046
Proline,g,0.806
Glycine,g,1.248
Docosahexaenoic n-3 acid,g,0.000
Eicosatetraenoic acid,g,0.000
Octadecatetraenoic acid,g,0.000
Lutein + zeaxanthin,mcg,651.00
Docosanoic acid,g,0.052
Cryptoxanthin, beta,mcg,0.00
Lycopene,mcg,0.00
Eicosenoic acid,g,0.067
Betaine,mg,3.1
Water,g,6.96
Niacin,mg,3.080
Riboflavin,mg,0.161
Tetracosanoic acid,g,0.031
Thiamin,mg,1.644
Pentadecanoic acid,g,0.005
Heptadecanoic acid,g,0.018
Phenylalanine,g,0.957
Tyrosine,g,0.493
Methionine,g,0.370
Cystine,g,0.340
Leucine,g,1.235
Lysine,g,0.862
Threonine,g,0.766
Isoleucine,g,0.896
Tryptophan,g,0.297
Docosenoic acid,g,0.013
Docosapentaenoic n-3 acid,g,0.000
Vitamin C,mg,0.6
Stigmasterol,mg,11.00
Campesterol,mg,45.00
Alcohol, ethyl,g,0.0
Butanoic acid,g,0.000
Saturated fatty acids,g,3.663
Cholesterol,mg,0.00
Octanoic acid,g,0.000
Hexanoic acid,g,0.000
Carotene, alpha,mcg,0.00
Vitamin E,mg,0.31
Vitamin A, RAE,mcg,0.00
Carotene, beta,mcg,0.00
Vitamin D,IU,0.00
Vitamin D (D2 + D3),mcg,0.0
Protein,g,18.29
Octadecatrienoic acid,g,22.813
Carbohydrate,g,28.88
Fat,g,42.16
Ash,g,3.72
Tetradecanoic acid,g,0.008
Calories,kcal,534.00
Decanoic acid,g,0.000
Dodecanoic acid,g,0.000
Octadecenoic acid,g,7.359
Octadecanoic acid,g,1.330
Eicosanoic acid,g,0.052
Folate, DFE,mcg,87.00
Folate, food,mcg,87.00
Vitamin K,mcg,4.3
Folic acid,mcg,0.00
Tocopherol, alpha,mg,0.31
